full_text,precinct,ward,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP,TOTVOTES,LIGHTFOOT,PRECKWINKLE,P_LIGHT,P_PRECK,
7003,3,7,0.004873294,0.959064327,0,0.015594542,283,195,88,0.689045936,0.310954064,
7004,4,7,0.008342024,0.965589153,0.002085506,0.014598541,256,187,69,0.73046875,0.26953125,
7005,5,7,0.024409449,0.915748032,0,0.037795276,235,155,80,0.659574468,0.340425532,
7006,6,7,0.047743024,0.896720022,0.008657228,0.020907076,344,216,128,0.627906977,0.372093023,
7007,7,7,0.015748031,0.956036745,0,0.020341207,204,130,74,0.637254902,0.362745098,
7008,8,7,0.031190926,0.917769376,0.005671077,0.018903592,215,142,73,0.660465116,0.339534884,
7009,9,7,0.012625313,0.944087903,3.72E-10,0.00901808,423,268,155,0.63356974,0.36643026,
7010,10,7,0.004314994,0.952535061,0,0.030204961,291,219,72,0.75257732,0.24742268,
7011,11,7,0.008731083,0.95983702,0,0.009313155,223,153,70,0.686098655,0.313901345,
7012,12,7,0.006123699,0.970606246,6.37E-12,0.010410288,230,163,67,0.708695652,0.291304348,
7013,13,7,0.019670158,0.940360189,0.010100775,0.017375757,171,116,55,0.678362573,0.321637427,
7014,14,7,0.019809825,0.947702061,0.001584786,0.018225039,244,163,81,0.668032787,0.331967213,
7015,15,7,0.009794319,0.947110675,0.000979432,0.010773751,243,157,86,0.646090535,0.353909465,
7016,16,7,0.013601419,0.947368421,0,0.009461857,154,109,45,0.707792208,0.292207792,
